City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,barreiras,-12.1528,-44.99,91.98,28,3,10.13,BR,1650905769
145,los llanos de aridane,28.6585,-17.9182,69.55,69,20,11.01,ES,1650905769
146,kahului,20.8947,-156.47,73.85,89,8,8.01,US,1650905686
147,khatanga,71.9667,102.5,-7.85,100,21,2.46,RU,1650905770
148,yerbogachen,61.2767,108.0108,23.16,96,64,3.09,RU,1650905770
149,marinette,45.1,-87.6307,48.29,49,100,8.05,US,1650905736
150,richards bay,-28.783,32.0377,66.69,90,100,14.72,ZA,1650905771
151,huasahuasi,-11.3167,-75.6167,52.21,55,98,8.7,PE,1650905771
152,tanout,14.9709,8.8879,100.8,7,70,5.95,NE,1650905771
153,vestmanna,62.1564,-7.1664,41.92,75,75,19.57,FO,1650905772
154,yarmouth,41.7057,-70.2286,59.99,62,100,8.99,US,1650905772
155,rongcheng,30.634,117.8517,71.29,97,100,2.57,CN,1650905773
156,khadro,26.1472,68.7176,96.84,37,21,18.92,PK,1650905773
157,torbay,47.6666,-52.7314,42.89,96,100,15.99,CA,1650905773
158,beipiao,41.7919,120.7792,58.39,82,56,6.85,CN,1650905774
159,beyla,8.6833,-8.6333,95.92,19,98,4.32,GN,1650905774
160,brora,58.0099,-3.8518,48.06,75,99,12.71,GB,1650905775
161,visnes,59.3556,5.2242,49.82,81,20,12.66,NO,1650905775
162,perbaungan,3.5679,98.956,77.11,88,94,1.32,ID,1650905776
163,cherskiy,68.75,161.3,16.38,83,100,4.47,RU,1650905776
164,port lincoln,-34.7333,135.8667,64.76,82,90,7.87,AU,1650905633
165,marabba,12.35,32.1833,99.05,6,24,3.74,SD,1650905777
166,kavieng,-2.5744,150.7967,81.81,73,22,8.32,PG,1650905698
167,aranos,-24.1333,19.1167,66.72,28,0,12.41,NA,1650905777
168,honiara,-9.4333,159.95,77.2,85,22,4.03,SB,1650905667
169,tiznit,29.5833,-9.5,60.51,61,16,12.28,MA,1650905597
170,cassilandia,-19.1133,-51.7342,93.42,30,62,10.13,BR,1650905507
171,maua,-23.6678,-46.4614,83.07,50,1,3.74,BR,1650905602
172,kavaratti,10.5669,72.642,85.28,72,28,5.95,IN,1650905779
173,vangaindrano,-23.35,47.6,73.27,83,98,4.47,MG,1650905779
174,balayong,9.4744,123.0623,77.86,87,87,4.88,PH,1650905780
175,gorontalo,0.5412,123.0595,75.34,96,76,2.59,ID,1650905780
176,naze,28.3667,129.4833,72.52,92,31,13.49,JP,1650905780
177,kalengwa,-13.4659,25.0027,70.09,66,100,4.21,ZM,1650905781
178,carman,49.4992,-98.0016,21.54,79,100,13.8,CA,1650905782
179,praya,14.9215,-23.5087,86.54,37,0,21.85,CV,1650905782
180,mudkhed,19.1667,77.5167,95.9,14,3,6.85,IN,1650905783
181,tecoanapa,16.5167,-98.75,85.42,57,2,9.19,MX,1650905783
182,telhara,21.0269,76.8389,96.58,15,24,7.76,IN,1650905784
183,shakiso,5.75,38.9167,59.59,98,98,0.49,ET,1650905784
184,chuy,-33.6971,-53.4616,65.53,98,100,8.32,UY,1650905785
185,kabwe,-14.4469,28.4464,67.23,67,2,4.45,ZM,1650905787
186,marienburg,54.0359,19.0266,44.89,90,100,9.95,PL,1650905787
187,qianjiang,30.4151,112.8859,66.29,86,96,6.33,CN,1650905787
188,kawalu,-7.3817,108.2082,73.54,96,74,1.92,ID,1650905788
189,leh,34.1667,77.5833,42.51,53,100,7.14,IN,1650905788
190,japura,-0.3167,102.35,75.43,97,96,1.81,ID,1650905789
191,geraldton,-28.7667,114.6,68.41,83,100,13.8,AU,1650905789
192,castro,-24.7911,-50.0119,77.04,49,0,3.71,BR,1650905790
193,ponta do sol,32.6667,-17.1,69.12,81,57,10.29,PT,1650905790
194,pitsunda,43.1592,40.3378,60.98,70,32,6.69,GE,1650905791
195,charters towers,-20.1,146.2667,69.64,92,100,15.59,AU,1650905791
196,umm lajj,25.0213,37.2685,78.73,48,0,6.22,SA,1650905792
197,grevena,40.0845,21.4274,74.41,54,1,6.85,GR,1650905792
198,voiron,45.3639,5.5921,60.22,80,98,3.94,FR,1650905793
199,mount isa,-20.7333,139.5,69.57,100,100,5.75,AU,1650905802
200,guatire,10.4762,-66.5427,87.69,76,100,5.14,VE,1650905803
201,kota kinabalu,5.9749,116.0724,76.98,94,20,3.44,MY,1650905637
202,schruns,47.0709,9.9475,46.63,98,99,2.71,AT,1650905803
203,kamenka,51.3223,42.7678,60.51,69,68,7.56,RU,1650905805
204,srednekolymsk,67.45,153.6833,0.01,99,91,4.59,RU,1650905805
205,port elizabeth,-33.918,25.5701,61.11,86,0,16.11,ZA,1650905602
206,morondava,-20.2833,44.2833,81.91,71,98,6.64,MG,1650905806
207,san policarpo,12.1791,125.5072,81.64,85,100,13.98,PH,1650905806
208,aquiraz,-3.9014,-38.3911,86.09,74,80,11.27,BR,1650905807
209,cabo san lucas,22.8909,-109.9124,82.06,71,3,3.0,MX,1650905571
210,port hawkesbury,45.6169,-61.3485,58.12,70,75,9.22,CA,1650905807
211,prestea,5.4327,-2.1428,83.98,73,77,3.69,GH,1650905808
212,ostrovnoy,68.0531,39.5131,34.23,98,100,3.15,RU,1650905574
213,itoman,26.1247,127.6694,77.4,94,75,12.66,JP,1650905808
214,pontianak,-0.0333,109.3333,76.98,94,100,2.3,ID,1650905809
215,bredasdorp,-34.5322,20.0403,57.2,68,12,5.08,ZA,1650905809
216,tabou,4.423,-7.3528,82.06,77,100,6.76,CI,1650905810
217,chumikan,54.7183,135.315,21.97,92,8,5.75,RU,1650905810
218,hirara,24.8,125.2833,78.51,89,19,17.38,JP,1650905811
219,mount gambier,-37.8333,140.7667,53.51,87,93,4.61,AU,1650905585
220,kodiak,57.79,-152.4072,37.29,78,93,5.73,US,1650905812
221,arraial do cabo,-22.9661,-42.0278,80.56,61,40,13.8,BR,1650905812
222,carinhanha,-14.3047,-43.765,94.03,23,2,10.25,BR,1650905813
223,nuevitas,21.5453,-77.2644,82.81,58,99,15.23,CU,1650905813
224,izumo,35.3667,132.7667,62.55,81,100,5.14,JP,1650905813
225,victoria,22.2855,114.1577,81.32,82,20,8.99,HK,1650905763
226,salina cruz,16.1667,-95.2,87.76,57,4,9.89,MX,1650905814
227,kresttsy,58.2452,32.5165,45.36,87,44,4.41,RU,1650905814
228,lasa,46.6166,10.7002,54.36,89,88,0.87,IT,1650905815
229,suluq,31.6682,20.2521,78.87,29,92,18.21,LY,1650905815
230,urucara,-2.5364,-57.76,89.6,55,62,5.61,BR,1650905816
231,bijar,35.8668,47.6051,51.76,66,100,8.63,IR,1650905816
232,port moresby,-9.4431,147.1797,76.42,100,75,2.3,PG,1650905652
233,teguise,29.0605,-13.564,66.42,60,20,5.75,ES,1650905817
234,bairnsdale,-37.8333,147.6167,50.05,97,38,3.53,AU,1650905551
235,tigil,57.8,158.6667,27.63,98,100,4.14,RU,1650905817
236,tiassale,5.8983,-4.8283,90.37,50,61,3.4,CI,1650905818
237,mezen,65.8522,44.24,34.12,93,100,5.53,RU,1650905818
238,codajas,-3.8367,-62.0569,85.93,73,89,3.53,BR,1650905819
239,shemgang,27.2169,90.6579,51.3,79,20,5.93,BT,1650905819
240,madang,-5.2246,145.7966,75.88,91,62,3.96,PG,1650905820
241,isangel,-19.55,169.2667,76.44,71,99,15.17,VU,1650905820
242,ancud,-41.8697,-73.8203,50.23,93,100,28.63,CL,1650905820
243,binga,-17.6203,27.3414,75.11,67,35,3.71,ZW,1650905821
244,linxia,35.6003,103.2064,57.88,38,99,2.73,CN,1650905821
245,jishou,28.3167,109.7167,69.03,96,25,2.55,CN,1650905822
246,villa del rosario,7.8339,-72.4742,77.38,73,75,14.97,CO,1650905822
247,thompson,55.7435,-97.8558,14.16,41,20,8.05,CA,1650905572
248,banda aceh,5.5577,95.3222,80.92,81,98,11.36,ID,1650905823
249,chicama,-7.8447,-79.1469,63.14,69,100,7.78,PE,1650905823
250,vertou,47.1687,-1.4693,66.18,42,0,6.91,FR,1650905824
251,carnarvon,-24.8667,113.6333,66.27,77,0,3.44,AU,1650905824
252,puerto rondon,6.2805,-71.1,90.52,50,98,2.86,CO,1650905824
253,hit,33.6416,42.8251,79.27,24,66,3.49,IQ,1650905825
254,saint-pierre,-21.3393,55.4781,74.88,75,0,8.05,RE,1650905825
255,kaitangata,-46.2817,169.8464,46.26,74,3,12.03,NZ,1650905616
256,touros,-5.1989,-35.4608,86.02,59,32,13.35,BR,1650905826
257,saint-francois,46.4154,3.9054,56.68,72,75,5.75,FR,1650905827
258,esperance,-33.8667,121.9,67.84,46,100,23.82,AU,1650905581
259,pisco,-13.7,-76.2167,70.02,88,100,9.22,PE,1650905598
260,kazerun,29.6195,51.6541,75.43,33,100,1.7,IR,1650905827
261,manhay,50.2929,5.676,54.93,60,27,3.0,BE,1650905828
262,general pico,-35.6566,-63.7568,69.93,20,0,8.37,AR,1650905828
263,anderson,34.5334,-82.6499,81.19,65,0,1.99,US,1650905829
264,upernavik,72.7868,-56.1549,20.53,82,29,1.36,GL,1650905829
265,mayumba,-3.432,10.6554,78.93,88,100,6.89,GA,1650905831
266,iqaluit,63.7506,-68.5145,6.53,78,100,33.38,CA,1650905831
267,larap,14.299,122.6504,78.57,92,83,7.96,PH,1650905832
268,talnakh,69.4865,88.3972,1.2,98,93,3.49,RU,1650905833
